age,month_application,date_application,employment_status,gender,loan_purpose,loan_amount_range,loan_amount
19,October,04/10/2019,FULL TIME,Male,Car,"10,001 - 15,000",13000
19,August,28/08/2019,STUDENT,Male,Student,"1,001 - 5,000",3000
19,March,28/03/2019,FULL TIME,Male,Personal,"5,001 - 10,000",7000
19,September,28/09/2019,STUDENT,FEMALE,Student,"0 - 1,000",1000
19,August,22/08/2019,STUDENT,Male,Student,"5,001 - 10,000",10000
19,August,19/08/2019,STUDENT,Male,Student,"1,001 - 5,000",3900
19,August,20/08/2019,STUDENT,Male,Student,"1,001 - 5,000",5000
19,November,16/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",2500
19,August,23/08/2019,STUDENT,FEMALE,Student,"5,001 - 10,000",10000
19,September,02/09/2019,STUDENT,Male,Student,"1,001 - 5,000",2000
19,September,06/09/2019,STUDENT,FEMALE,Student,"0 - 1,000",390
19,November,21/11/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",5000
19,August,30/08/2019,STUDENT,FEMALE,Student,"15,001 - 25,000",17000
19,April,16/04/2019,PART TIME,FEMALE,Personal,"5,001 - 10,000",7000
19,August,26/08/2019,PART TIME,FEMALE,Student,"5,001 - 10,000",6000
19,September,10/09/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",5000
19,September,14/09/2019,STUDENT,FEMALE,Student,"10,001 - 15,000",12000
19,May,31/05/2019,STUDENT,FEMALE,Student,"0 - 1,000",600
19,September,06/09/2019,STUDENT,FEMALE,Student,"0 - 1,000",500
19,August,09/08/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",4500
20,July,25/07/2019,STUDENT,Male,Student,"5,001 - 10,000",10000
20,August,10/08/2019,FULL TIME,Male,Car,"5,001 - 10,000",10000
20,August,26/08/2019,FULL TIME,Male,Student,"1,001 - 5,000",5000
20,July,24/07/2019,FULL TIME,Male,Car,"5,001 - 10,000",5500
20,August,26/08/2019,PART TIME,Male,Student,"5,001 - 10,000",10000
20,August,08/08/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",3000
20,August,20/08/2019,STUDENT,Male,Student,"10,001 - 15,000",11000
20,July,23/07/2019,PART TIME,Male,Personal,"1,001 - 5,000",5000
20,November,27/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",3000
20,September,07/09/2019,FULL TIME,Male,Student,"5,001 - 10,000",5500
20,September,28/09/2019,FULL TIME,Male,Car,"5,001 - 10,000",6000
20,August,03/08/2019,STUDENT,Male,Student,"5,001 - 10,000",7000
20,April,26/04/2019,STUDENT,Male,Personal,"5,001 - 10,000",7500
20,August,30/08/2019,STUDENT,Male,Car,"5,001 - 10,000",6000
20,August,28/08/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",2000
20,December,10/12/2019,STUDENT,Male,Personal,"0 - 1,000",1000
20,November,19/11/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",750
20,October,11/10/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",2500
20,September,14/09/2019,PART TIME,FEMALE,Student,"1,001 - 5,000",5000
20,December,11/12/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",300
20,November,22/11/2019,STUDENT,Male,Student,"0 - 1,000",500
20,August,09/08/2019,STUDENT,Male,Student,"1,001 - 5,000",2000
20,August,22/08/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
20,December,21/12/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",1500
20,August,27/08/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",1500
20,August,30/08/2019,STUDENT,FEMALE,Student,"5,001 - 10,000",8000
20,June,14/06/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
20,August,28/08/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",2000
20,August,27/08/2019,STUDENT,Male,Personal,"1,001 - 5,000",2000
20,May,30/05/2019,FULL TIME,Male,Car,"1,001 - 5,000",5000
20,August,29/08/2019,STUDENT,Male,Student,"1,001 - 5,000",3200
20,September,28/09/2019,STUDENT,Male,Student,"5,001 - 10,000",10000
20,December,10/12/2019,PART TIME,Male,Car,"5,001 - 10,000",8000
20,September,06/09/2019,STUDENT,FEMALE,Student,"5,001 - 10,000",8000
20,January,03/01/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",3500
20,April,17/04/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",4500
20,August,08/08/2019,PART TIME,FEMALE,Student,"5,001 - 10,000",6000
20,March,30/03/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",1000
20,October,18/10/2019,FULL TIME,Male,Personal,"0 - 1,000",300
20,November,02/11/2019,FULL TIME,Male,Car,"10,001 - 15,000",12000
20,August,19/08/2019,STUDENT,Male,Student,"1,001 - 5,000",5000
20,August,21/08/2019,STUDENT,Male,Student,"5,001 - 10,000",6000
20,March,08/03/2019,FULL TIME,Male,Personal,"1,001 - 5,000",4000
20,November,25/11/2019,FULL TIME,Male,Home,"1,001 - 5,000",3500
20,May,24/05/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",500
20,July,31/07/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",200
20,October,19/10/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",600
20,December,06/12/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",1000
20,August,17/08/2019,STUDENT,Male,Student,"5,001 - 10,000",8000
21,February,09/02/2019,FULL TIME,Male,Car,"1,001 - 5,000",2500
21,December,05/12/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
21,July,26/07/2019,FULL TIME,Male,Personal,"1,001 - 5,000",5000
21,August,27/08/2019,PART TIME,Male,Student,"1,001 - 5,000",4000
21,October,19/10/2019,FULL TIME,Male,Car,"1,001 - 5,000",3500
21,April,05/04/2019,STUDENT,FEMALE,Student,"0 - 1,000",800
21,September,06/09/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",1500
21,August,29/08/2019,FULL TIME,Male,Car,"1,001 - 5,000",1500
21,August,31/08/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",4070
21,July,22/07/2019,STUDENT,Male,Student,"5,001 - 10,000",10000
21,December,19/12/2019,PART TIME,FEMALE,Personal,"0 - 1,000",500
21,November,30/11/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
21,June,13/06/2019,FULL TIME,FEMALE,Personal,"5,001 - 10,000",8000
21,August,23/08/2019,PART TIME,FEMALE,Student,"1,001 - 5,000",5000
21,May,21/05/2019,FULL TIME,Male,Student,"5,001 - 10,000",6000
21,January,18/01/2019,PART TIME,Male,Personal,"0 - 1,000",700
21,November,30/11/2019,PART TIME,Male,Student,"1,001 - 5,000",3000
21,June,08/06/2019,PART TIME,Male,Student,"1,001 - 5,000",2900
21,October,21/10/2019,PART TIME,FEMALE,Student,"1,001 - 5,000",3000
21,July,01/07/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",2000
21,March,14/03/2019,PART TIME,FEMALE,Personal,"5,001 - 10,000",6000
21,May,23/05/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",500
21,November,08/11/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",210
21,September,14/09/2019,STUDENT,Male,Student,"1,001 - 5,000",5000
21,October,19/10/2019,STUDENT,Male,Student,"1,001 - 5,000",2000
21,November,25/11/2019,STUDENT,FEMALE,Car,"1,001 - 5,000",4500
21,November,23/11/2019,STUDENT,Male,Student,"0 - 1,000",0
21,August,20/08/2019,PART TIME,FEMALE,Student,"5,001 - 10,000",6000
21,September,27/09/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
21,August,30/08/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
21,July,20/07/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",5000
21,November,30/11/2019,STUDENT,FEMALE,Car,"5,001 - 10,000",6000
21,December,06/12/2019,STUDENT,FEMALE,Personal,"0 - 1,000",500
21,December,18/12/2019,PART TIME,Male,Student,"1,001 - 5,000",2070.24
21,February,08/02/2019,FULL TIME,Male,Personal,"1,001 - 5,000",2900
21,November,06/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",2500
21,March,22/03/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",800
21,July,10/07/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",400
21,February,19/02/2019,FULL TIME,FEMALE,Home,"0 - 1,000",200
21,July,15/07/2019,STUDENT,FEMALE,Personal,"1,001 - 5,000",5000
21,June,07/06/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
21,November,23/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
21,July,31/07/2019,STUDENT,FEMALE,Student,"5,001 - 10,000",8000
21,September,21/09/2019,STUDENT,FEMALE,Student,"0 - 1,000",700
21,July,13/07/2019,PART TIME,FEMALE,Student,"1,001 - 5,000",4500
21,February,23/02/2019,FULL TIME,Male,Car,"1,001 - 5,000",5000
21,September,14/09/2019,STUDENT,Male,Student,"1,001 - 5,000",2000
21,August,02/08/2019,PART TIME,Male,Car,"1,001 - 5,000",5000
22,November,02/11/2019,STUDENT,Male,Student,"1,001 - 5,000",4000
22,January,18/01/2019,FULL TIME,Male,Personal,"5,001 - 10,000",10000
22,October,12/10/2019,FULL TIME,Male,Car,"10,001 - 15,000",12500
22,August,15/08/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1500
22,April,25/04/2019,PART TIME,Male,Student,"1,001 - 5,000",5000
22,April,13/04/2019,FULL TIME,Male,Student,"1,001 - 5,000",1200
22,February,01/02/2019,STUDENT,Male,Car,"1,001 - 5,000",3000
22,November,21/11/2019,STUDENT,Male,Car,"5,001 - 10,000",6276.17
22,June,12/06/2019,FULL TIME,Male,Car,"1,001 - 5,000",2500
22,January,26/01/2019,FULL TIME,Male,Car,"0 - 1,000",1000
22,September,07/09/2019,FULL TIME,Male,Car,"1,001 - 5,000",4500
22,June,28/06/2019,FULL TIME,Male,Car,"5,001 - 10,000",6000
22,November,22/11/2019,FULL TIME,Male,Student,"0 - 1,000",700
22,January,30/01/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
22,August,14/08/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
22,November,08/11/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
22,July,26/07/2019,FULL TIME,Male,Student,"1,001 - 5,000",2000
22,June,01/06/2019,FULL TIME,Male,Car,"5,001 - 10,000",6500
22,July,01/07/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1500
22,November,05/11/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1800
22,November,14/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",4000
22,May,31/05/2019,FULL TIME,Male,Car,"1,001 - 5,000",5000
22,January,17/01/2019,STUDENT,Male,Student,"1,001 - 5,000",5000
22,March,23/03/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",3500
22,October,04/10/2019,PART TIME,Male,Student,"1,001 - 5,000",3000
22,June,25/06/2019,STUDENT,Male,Student,"1,001 - 5,000",5000
22,August,06/08/2019,STUDENT,FEMALE,Student,"5,001 - 10,000",9000
22,March,25/03/2019,FULL TIME,FEMALE,Car,"10,001 - 15,000",12000
22,July,17/07/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",4000
22,December,07/12/2019,STUDENT,FEMALE,Student,"0 - 1,000",500
22,September,14/09/2019,STUDENT,FEMALE,Student,"0 - 1,000",550
22,June,20/06/2019,FULL TIME,FEMALE,Personal,"1,001 - 5,000",2000
22,August,07/08/2019,STUDENT,FEMALE,Student,"1,001 - 5,000",5000
22,May,16/05/2019,FULL TIME,FEMALE,Personal,"0 - 1,000",600
22,January,07/01/2019,FULL TIME,Male,Car,"0 - 1,000",800
22,July,08/07/2019,FULL TIME,Male,Personal,"0 - 1,000",200
22,March,05/03/2019,STUDENT,Male,Personal,"0 - 1,000",500
22,May,10/05/2019,STUDENT,Male,Personal,"0 - 1,000",600
22,July,22/07/2019,STUDENT,Male,Personal,"0 - 1,000",500
22,November,21/11/2019,STUDENT,Male,Car,"1,001 - 5,000",4000
22,October,19/10/2019,STUDENT,Male,Student,"5,001 - 10,000",10000
22,July,13/07/2019,FULL TIME,Male,Car,"1,001 - 5,000",2500
22,March,27/03/2019,UNEMPLOYED,Male,Personal,"0 - 1,000",250
22,February,08/02/2019,FULL TIME,Male,Personal,"0 - 1,000",250
22,November,16/11/2019,FULL TIME,Male,Personal,"0 - 1,000",500
22,January,23/01/2019,FULL TIME,Male,Car,"1,001 - 5,000",3750
22,April,04/04/2019,STUDENT,FEMALE,Student,"0 - 1,000",900
22,June,26/06/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",800
22,September,16/09/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",330
22,June,19/06/2019,PART TIME,FEMALE,Car,"1,001 - 5,000",5000
22,September,23/09/2019,STUDENT,Male,Student,"1,001 - 5,000",2500
22,March,09/03/2019,STUDENT,Male,Personal,"0 - 1,000",1000
22,September,02/09/2019,STUDENT,Male,Student,"0 - 1,000",500
22,September,17/09/2019,PART TIME,Male,Student,"1,001 - 5,000",3000
22,May,14/05/2019,STUDENT,Male,Student,"1,001 - 5,000",3000
22,November,08/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",4000
22,January,07/01/2019,FULL TIME,Male,Car,"5,001 - 10,000",8000
22,November,06/11/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",4500
22,September,07/09/2019,STUDENT,Male,Student,"1,001 - 5,000",3400
22,April,20/04/2019,STUDENT,Male,Personal,"5,001 - 10,000",7000
22,March,01/03/2019,STUDENT,Male,Student,"5,001 - 10,000",6000
22,October,17/10/2019,FULL TIME,Male,Car,"5,001 - 10,000",7500
22,September,02/09/2019,STUDENT,Male,Student,"5,001 - 10,000",6000
23,September,14/09/2019,PART TIME,Male,Student,"1,001 - 5,000",3000
23,November,08/11/2019,FULL TIME,Male,Student,"1,001 - 5,000",1600
23,December,06/12/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",500
23,July,26/07/2019,FULL TIME,Male,Car,"1,001 - 5,000",3000
23,January,10/01/2019,STUDENT,Male,Student,"1,001 - 5,000",2400
23,August,17/08/2019,FULL TIME,Male,Personal,"0 - 1,000",800
23,January,07/01/2019,STUDENT,Male,Personal,"1,001 - 5,000",5000
23,February,12/02/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",200
23,February,26/02/2019,UNEMPLOYED,FEMALE,Home,"0 - 1,000",200
23,July,13/07/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",300
23,November,19/11/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",400
23,March,04/03/2019,PART TIME,FEMALE,Home,"10,001 - 15,000",15000
23,September,18/09/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
23,December,13/12/2019,PART TIME,Male,Personal,"0 - 1,000",300
23,January,25/01/2019,FULL TIME,FEMALE,Student,"0 - 1,000",600
23,May,16/05/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,August,08/08/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,December,10/12/2019,UNEMPLOYED,FEMALE,Personal,"0 - 1,000",250
23,July,29/07/2019,FULL TIME,Male,Car,"5,001 - 10,000",8000
23,September,26/09/2019,PART TIME,FEMALE,Student,"1,001 - 5,000",3500
23,November,23/11/2019,FULL TIME,Male,Car,"1,001 - 5,000",2500
23,November,01/11/2019,FULL TIME,Male,Personal,"1,001 - 5,000",1700
23,February,20/02/2019,FULL TIME,Male,Personal,"0 - 1,000",1000
23,September,06/09/2019,FULL TIME,Male,Home,"0 - 1,000",300
23,December,14/12/2019,FULL TIME,Male,Personal,"0 - 1,000",500
23,May,24/05/2019,FULL TIME,FEMALE,Car,"1,001 - 5,000",3500
